job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75402740,Summer Intern - Business Insight,"3-months summer internship to support our business insight strategic project, you will be based in The JTC Summit regional office.",West Pharmaceutical Services Singapore Pte Ltd,West Region,Consulting & Strategy,Analysts,Full time,"$1,800 – $2,000 per month",2024-04-25T06:12:52Z,1d ago,https://www.jobstreet.com.sg/job/75402740
75427792,Data Analyst (1Year contract) Gov Board,"Looking for Data Analyst to join on a 1-year contract basis. Responsible for collecting, analyzing, and interpreting data,to drive business decisions.",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),West Region,Information & Communication Technology,Business/Systems Analysts,Full time,"$4,000 – $4,500 per month",2024-04-26T05:54:16Z,6h ago,https://www.jobstreet.com.sg/job/75427792
75328756,HR Dashboard & Analytics Executive | Up to $3500 | 6 months (renewable),-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Other,Contract/Temp,"$3,000 – $3,500 per month",2024-04-22T15:26:17Z,3d ago,https://www.jobstreet.com.sg/job/75328756
75419731,Data Analyst / Up to S$4500 / West / 1 year contract,"Looking for Data Analyst to join on a 1-year contract basis. Responsible for collecting, analyzing, and interpreting data,to drive business decisions.",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),West Region,Information & Communication Technology,Networks & Systems Administration,Full time,"$4,000 – $4,500 per month",2024-04-26T01:10:45Z,10h ago,https://www.jobstreet.com.sg/job/75419731
75272900,Strategy and Operations Data Analytics Intern - Shopee Xpress Last Mile,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform...",SHOPEE SINGAPORE PRIVATE LIMITED,Singapore,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-19T07:39:07Z,7d ago,https://www.jobstreet.com.sg/job/75272900
75414400,"Intern, SCM Data Analyst","Coordinate projects and activities in supporting the department, using finance systems, metrics/data management and analysis
Support superior in ma...",DKSH Singapore Pte Ltd,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-25T15:09:00Z,20h ago,https://www.jobstreet.com.sg/job/75414400
75404466,"Head, Data","The Head, Data will play a key role in supporting the Director in developing data analytics and AI strategy and initiatives.",Thomson Medical Pte Ltd,Central Region,Information & Communication Technology,Management,Full time,,2024-04-25T07:11:46Z,1d ago,https://www.jobstreet.com.sg/job/75404466
75227200,Analytics Developer/Data Engineer,"2. What we are looking for
· Good understanding and completion of projects using waterfall/Agile methodology.
· Strong SQL, data modelling and data...",PHOENIX SOLUTIONS (S) PTE. LTD.,East Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-18T02:42:00Z,8d ago,https://www.jobstreet.com.sg/job/75227200
75207576,Administrator (Data Analytics),"Interested to explore into Data Analytics function
Organized and meticulous to assist team on administration",IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-17T15:55:00Z,8d ago,https://www.jobstreet.com.sg/job/75207576
75383926,"Manager, Marketing Data Analyst (6412)",-,Changi Airport Group (Singapore) Pte. Ltd.,Central Region,Marketing & Communications,Management,Full time,,2024-04-24T07:56:18Z,2d ago,https://www.jobstreet.com.sg/job/75383926
75429852,Data Scientist - Digital Transformation Office,"As a Data Scientist in Digital Transformation Office @ NYP, you will be at the forefront of shaping the future of data and AI-driven decision-makin...",Public Service Division,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-26T03:26:00Z,8h ago,https://www.jobstreet.com.sg/job/75429852
