job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75302666,Information Technology - Senior Data Engineer (Analytics Engineering Track),"We have multiple senior data engineering positions available. The Data Analytics Engineer is responsible for designing and developing robust, scala...",Singapore Airlines,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-21 14:39:00,2d ago,https://www.jobstreet.com.sg/job/75302666
75367936,Data Analyst,"4e Exchange, a leading financial derivatives trading platform, is seeking a Senior Data Analyst to join our team. As a global leader in the financi...",4e,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-23 13:13:00,23h ago,https://www.jobstreet.com.sg/job/75367936
75332524,Data Analyst,"Job Description: As a Data Analyst, you will play a crucial role in leveraging data to drive business insights and decision-making. Your primary re...",JCO ANALYTICS PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-22 14:15:00,1d ago,https://www.jobstreet.com.sg/job/75332524
75354759,Data Analyst (Phillip Nova),"Proficiency in data manipulation and analysis tools. Strong data visualization skills using tools such as Tableau, Power BI, or others.",Phillip Nova Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23 10:04:26,1d ago,https://www.jobstreet.com.sg/job/75354759
75355995,HR Dashboard & Analytics Executive | Up to $3500 | 6 months,-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Organisational Development,Contract/Temp,"$3,000 – $3,500 per month",2024-04-23 13:50:37,23h ago,https://www.jobstreet.com.sg/job/75355995
75383958,"Senior VP, Lead TDM, Platform Engineering, Data Analytics Technology",-,United Overseas Bank Limited (UOB),Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-24 07:57:28,4h ago,https://www.jobstreet.com.sg/job/75383958
75329590,"VP, Financial Strategy (Data Analytics, Programming), Group Finance",We support enhanced decision-making to achieve optimal and sustainable financial outcomes for our shareholders. We are responsible for providing in...,United Overseas Bank Limited (UOB),Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-22 12:59:00,1d ago,https://www.jobstreet.com.sg/job/75329590
75319768,Data Analyst,You will be given good learning exposure.,Methodist Welfare Services,West Region,Healthcare & Medical,Clinical/Medical Research,Full time,,2024-04-22 07:05:05,2d ago,https://www.jobstreet.com.sg/job/75319768
75246968,"Data Analytics Intern - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-19 01:42:39,5d ago,https://www.jobstreet.com.sg/job/75246968
75230897,"Data Analyst Intern - Regional Marketing Analytics, Regional Brand & Growth Mark",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-04-18 08:38:37,6d ago,https://www.jobstreet.com.sg/job/75230897
75252891,"Data Analytics Lead, Regional Business Intelligence & Planning",--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-19 02:57:09,5d ago,https://www.jobstreet.com.sg/job/75252891
75239580,Data Analytics Audit Specialist,"Develop and implement data analytics strategies to enhance audit procedures and methodologies, incorporating emerging technologies and best practic...",Central Provident Fund Board,Central Region,Accounting,Audit - Internal,Contract/Temp,,2024-04-18 14:50:00,5d ago,https://www.jobstreet.com.sg/job/75239580
75367912,Manager / Assistant Senior Manager (Data Analytics),"As a data analyst in our Internal Audit Team, you are involved in the design and performance of data analytics tests to support OIA s continuous mo...",Yale-NUS College,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-18 12:00:00,6d ago,https://www.jobstreet.com.sg/job/75367912
75328756,HR Dashboard & Analytics Executive | Up to $3500 | 6 months (renewable),-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Other,Contract/Temp,"$3,000 – $3,500 per month",2024-04-22 15:26:17,1d ago,https://www.jobstreet.com.sg/job/75328756
75272900,Strategy and Operations Data Analytics Intern - Shopee Xpress Last Mile,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform...",SHOPEE SINGAPORE PRIVATE LIMITED,Singapore,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-19 07:39:07,5d ago,https://www.jobstreet.com.sg/job/75272900
75227200,Analytics Developer/Data Engineer,"2. What we are looking for
  Good understanding and completion of projects using waterfall/Agile methodology.
  Strong SQL, data modelling and data...",PHOENIX SOLUTIONS (S) PTE. LTD.,East Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-18 02:42:00,6d ago,https://www.jobstreet.com.sg/job/75227200
75207576,Administrator (Data Analytics),"Interested to explore into Data Analytics function
Organized and meticulous to assist team on administration",IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-17 15:55:00,6d ago,https://www.jobstreet.com.sg/job/75207576
75383926,"Manager, Marketing Data Analyst (6412)",-,Changi Airport Group (Singapore) Pte. Ltd.,Central Region,Marketing & Communications,Management,Full time,,2024-04-24 07:56:18,4h ago,https://www.jobstreet.com.sg/job/75383926
75308328,Data Analyst - ShopeePay,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-22 02:05:55,2d ago,https://www.jobstreet.com.sg/job/75308328
75318241,Data Scientist,"As a Data Scientist, you will be at the forefront of our data analytics efforts, working closely with cross-functional teams to develop and deploy ...",CPO PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-22 02:09:00,2d ago,https://www.jobstreet.com.sg/job/75318241
75226861,Data Scientist and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,Central Region,Sales,New Business Development,Full time,,2024-04-18 02:39:00,6d ago,https://www.jobstreet.com.sg/job/75226861
75328324,"HR Dashboard & Analytics Executive (6 months) | Up $3,500","Executive (HR Dashboard and Analytics)	
Chinatown
6 months (w option to extend)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Consulting & Generalist HR,Contract/Temp,"$3,000 – $3,500 per month",2024-04-22 13:43:35,1d ago,https://www.jobstreet.com.sg/job/75328324
75191422,Internship - Data Analytics (BE Industrial Engineering),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17 05:52:55,7d ago,https://www.jobstreet.com.sg/job/75191422
75341640,Data Architect Analyst (6 months internship),-,"Mizuho Bank, Ltd",Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-23 03:10:47,1d ago,https://www.jobstreet.com.sg/job/75341640
75191095,"Internship - ATV Supply Chain Planner, Data Analytics","Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,Central Region,Information & Communication Technology,Database Development & Administration,Contract/Temp,,2024-04-17 05:40:47,7d ago,https://www.jobstreet.com.sg/job/75191095
75206179,Data Analyst,"Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.
Job Requirements:
Degree in Computer ...",D L Resources Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17 13:40:00,6d ago,https://www.jobstreet.com.sg/job/75206179
75203101,Data Analyst,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology...",D L Resources Pte Ltd,Singapore,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17 10:13:54,7d ago,https://www.jobstreet.com.sg/job/75203101
75368930,"AVP, Data Analyst, Business Performance, Consumer Banking Group",Refer a friend Submit a candidate's profile,DBS Bank Limited,Central Region,Accounting,Analysis & Reporting,Full time,,2024-04-23 05:01:00,1d ago,https://www.jobstreet.com.sg/job/75368930
75182689,Administrator (Data Analytics),Data Analysis and prepare reports  Manage calendar for VP and the team Schedule and prepare claims submission,IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-17 01:35:50,7d ago,https://www.jobstreet.com.sg/job/75182689
75238768,Senior Data Analyst,We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,Net6tem,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-18 14:52:00,5d ago,https://www.jobstreet.com.sg/job/75238768
75150563,"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)",-,NUHS Group Ops & IT,Central Region,Hospitality & Tourism,Management,Full time,,2024-04-16 02:11:03,8d ago,https://www.jobstreet.com.sg/job/75150563
75320644,Data Science Engineer - (Python),To develop models and work with various in-house stakeholders in the manufacturing industry.,GMP Group HQ,West Region,Information & Communication Technology,Management,Full time,"$4,000 – $4,800 per month",2024-04-22 07:32:53,2d ago,https://www.jobstreet.com.sg/job/75320644
